מספר,קוד מוצר,קטגוריה,רובד מחיר,שם המוצר,תיאור קצר,עלות משוערת (₪),מחיר מכירה (₪),ערך נתפס (₪),מרווח ברוטו (₪),מרווח %,לינק ישיר למוצר ,לינק AliExpress,מחיר AliExpress ($),לינק Alibaba,מחיר Alibaba ($),לינק TEMU,מחיר TEMU ($)
41,GMA5041,אופנה ואביזרים,Essential,שרוכים אלסטיים No-Tie,"נוחות, ללא קשירה",15,49,100,34,69%,,https://www.aliexpress.com/w/wholesale-שרוכים-אלסטיים-no-tie.html,4.05,https://www.alibaba.com/trade/search?SearchText=שרוכים+אלסטיים+No-Tie,3.45,https://www.temu.com/search_result.html?search_key=שרוכים+אלסטיים+No-Tie,3.65
42,GMA5042,אופנה ואביזרים,Essential,משקפיים כחולים Blue Light,"הגנה מול מסך, עבודה",25,65,160,40,62%,,https://www.aliexpress.com/w/wholesale-משקפיים-כחולים-blue-light.html,6.76,https://www.alibaba.com/trade/search?SearchText=משקפיים+כחולים+Blue+Light,5.74,https://www.temu.com/search_result.html?search_key=משקפיים+כחולים+Blue+Light,6.08
43,GMA5043,אופנה ואביזרים,Premium,תרמיל קומפקטי עמיד במים + USB,"עם USB, ספורט, נסיעות",45,85,200,40,47%,,https://www.aliexpress.com/w/wholesale-תרמיל-קומפקטי-עמיד-במים-+-usb.html,12.16,https://www.alibaba.com/trade/search?SearchText=תרמיל+קומפקטי+עמיד+במים+++USB,10.34,https://www.temu.com/search_result.html?search_key=תרמיל+קומפקטי+עמיד+במים+++USB,10.95
44,GMA5044,אופנה ואביזרים,Premium,משקפי שמש UV400,"מעוצבים, הגנה מהשמש",30,75,180,45,60%,,https://www.aliexpress.com/w/wholesale-משקפי-שמש-uv400.html,8.11,https://www.alibaba.com/trade/search?SearchText=משקפי+שמש+UV400,6.89,https://www.temu.com/search_result.html?search_key=משקפי+שמש+UV400,7.3
45,GMA5045,אופנה ואביזרים,Premium,שעון יד מינימליסטי,"אלגנטי, קלאסי",40,79,190,39,49%,,https://www.aliexpress.com/w/wholesale-שעון-יד-מינימליסטי.html,10.81,https://www.alibaba.com/trade/search?SearchText=שעון+יד+מינימליסטי,9.19,https://www.temu.com/search_result.html?search_key=שעון+יד+מינימליסטי,9.73
46,GMA5046,אופנה ואביזרים,Premium,סט תכשיטים מינימליסטי,"שרשרת + עגילים, נשים",35,75,180,40,53%,,https://www.aliexpress.com/w/wholesale-סט-תכשיטים-מינימליסטי.html,9.46,https://www.alibaba.com/trade/search?SearchText=סט+תכשיטים+מינימליסטי,8.04,https://www.temu.com/search_result.html?search_key=סט+תכשיטים+מינימליסטי,8.51
47,GMA5047,אופנה ואביזרים,Elite,תיק עור PU Crossbody,"נראה יקר, אלגנטי",50,95,250,45,47%,,https://www.aliexpress.com/w/wholesale-תיק-עור-pu-crossbody.html,13.51,https://www.alibaba.com/trade/search?SearchText=תיק+עור+PU+Crossbody,11.49,https://www.temu.com/search_result.html?search_key=תיק+עור+PU+Crossbody,12.16
48,GMA5048,אופנה ואביזרים,Elite,שעון חכם אלגנטי מתכתי,"רצועת עור, משלב טכנולוגיה",55,98,280,43,44%,,https://www.aliexpress.com/w/wholesale-שעון-חכם-אלגנטי-מתכתי.html,14.86,https://www.alibaba.com/trade/search?SearchText=שעון+חכם+אלגנטי+מתכתי,12.64,https://www.temu.com/search_result.html?search_key=שעון+חכם+אלגנטי+מתכתי,13.38
49,GMA5049,אופנה ואביזרים,Elite,ג'קט Softshell מתקפל,"פרקטי, חורף ישראלי",60,99,300,39,39%,,https://www.aliexpress.com/w/wholesale-ג'קט-softshell-מתקפל.html,16.22,https://www.alibaba.com/trade/search?SearchText=ג'קט+Softshell+מתקפל,13.78,https://www.temu.com/search_result.html?search_key=ג'קט+Softshell+מתקפל,14.59
50,GMA5050,אופנה ואביזרים,Elite,ארנק חכם עם GPS Tracker,GPS למציאת ארנק אבוד,55,98,270,43,44%,,https://www.aliexpress.com/w/wholesale-ארנק-חכם-עם-gps-tracker.html,14.86,https://www.alibaba.com/trade/search?SearchText=ארנק+חכם+עם+GPS+Tracker,12.64,https://www.temu.com/search_result.html?search_key=ארנק+חכם+עם+GPS+Tracker,13.38
